,Algorithm,Dataset,Number of Clusters,Eps,Min_Sample,Silhouette,Execution Time
930,DBScan,Trip Advisor,10,5.700000000000003,10,,0.06391319999238476
945,DBScan,Trip Advisor,10,5.700000000000003,25,,0.06406390003394336
681,DBScan,Trip Advisor,10,4.700000000000003,11,,0.06467990000965074
688,DBScan,Trip Advisor,10,4.700000000000003,18,,0.06479450000915676
711,DBScan,Trip Advisor,10,4.8000000000000025,16,,0.06498570000985637
995,DBScan,Trip Advisor,10,5.900000000000004,25,,0.06517160002840683
772,DBScan,Trip Advisor,10,5.000000000000003,27,,0.0652004000148736
817,DBScan,Trip Advisor,10,5.200000000000003,22,,0.06522759998915717
868,DBScan,Trip Advisor,10,5.400000000000003,23,,0.06524830003036186
631,DBScan,Trip Advisor,10,4.500000000000002,11,,0.06541510001989082
904,DBScan,Trip Advisor,10,5.600000000000003,9,,0.06542170001193881
645,DBScan,Trip Advisor,10,4.500000000000002,25,,0.06579069996951148
850,DBScan,Trip Advisor,10,5.400000000000003,5,,0.06595910002943128
831,DBScan,Trip Advisor,10,5.3000000000000025,11,,0.0659635000047274
605,DBScan,Trip Advisor,10,4.400000000000002,10,,0.06602090003434569
881,DBScan,Trip Advisor,10,5.5000000000000036,11,,0.06615999998757616
693,DBScan,Trip Advisor,10,4.700000000000003,23,,0.06616530002793297
625,DBScan,Trip Advisor,10,4.500000000000002,5,,0.06629330001305789
895,DBScan,Trip Advisor,10,5.5000000000000036,25,,0.06651690002763644
813,DBScan,Trip Advisor,10,5.200000000000003,18,,0.06651890004286543
666,DBScan,Trip Advisor,10,4.600000000000002,21,,0.06658619997324422
721,DBScan,Trip Advisor,10,4.8000000000000025,26,,0.0666563999839127
613,DBScan,Trip Advisor,10,4.400000000000002,18,,0.06670329999178648
809,DBScan,Trip Advisor,10,5.200000000000003,14,,0.06729540001833811
932,DBScan,Trip Advisor,10,5.700000000000003,12,,0.06741659995168447
623,DBScan,Trip Advisor,10,4.400000000000002,28,,0.06758420000551268
804,DBScan,Trip Advisor,10,5.200000000000003,9,,0.0678358000004664
980,DBScan,Trip Advisor,10,5.900000000000004,10,,0.06794579996494576
584,DBScan,Trip Advisor,10,4.3000000000000025,14,,0.06802309997146949
988,DBScan,Trip Advisor,10,5.900000000000004,18,,0.06802990002324805
593,DBScan,Trip Advisor,10,4.3000000000000025,23,,0.0682828999706544
589,DBScan,Trip Advisor,10,4.3000000000000025,19,,0.0683500999584794
848,DBScan,Trip Advisor,10,5.3000000000000025,28,,0.06850379996467382
875,DBScan,Trip Advisor,10,5.5000000000000036,5,,0.06851400004234165
849,DBScan,Trip Advisor,10,5.3000000000000025,29,,0.06856499996501952
706,DBScan,Trip Advisor,10,4.8000000000000025,11,,0.06861719995504245
793,DBScan,Trip Advisor,10,5.100000000000003,23,,0.06865420000394806
583,DBScan,Trip Advisor,10,4.3000000000000025,13,,0.0687233000062406
806,DBScan,Trip Advisor,10,5.200000000000003,11,,0.06875119998585433
636,DBScan,Trip Advisor,10,4.500000000000002,16,,0.0689284999971278
569,DBScan,Trip Advisor,10,4.200000000000002,24,,0.0689344999846071
617,DBScan,Trip Advisor,10,4.400000000000002,22,,0.06893799995305017
608,DBScan,Trip Advisor,10,4.400000000000002,13,,0.06896809994941577
802,DBScan,Trip Advisor,10,5.200000000000003,7,,0.06905579997692257
590,DBScan,Trip Advisor,10,4.3000000000000025,20,,0.06906030001118779
647,DBScan,Trip Advisor,10,4.500000000000002,27,,0.06908970000222325
637,DBScan,Trip Advisor,10,4.500000000000002,17,,0.06911410001339391
668,DBScan,Trip Advisor,10,4.600000000000002,23,,0.0692214000155218
820,DBScan,Trip Advisor,10,5.200000000000003,25,,0.06922189996112138
598,DBScan,Trip Advisor,10,4.3000000000000025,28,,0.06936349999159575
658,DBScan,Trip Advisor,10,4.600000000000002,13,,0.06947690004017204
611,DBScan,Trip Advisor,10,4.400000000000002,16,,0.06958860001759604
931,DBScan,Trip Advisor,10,5.700000000000003,11,,0.06985520001035184
917,DBScan,Trip Advisor,10,5.600000000000003,22,,0.06986739998683333
803,DBScan,Trip Advisor,10,5.200000000000003,8,,0.06990300002507865
847,DBScan,Trip Advisor,10,5.3000000000000025,27,,0.07024359999923036
661,DBScan,Trip Advisor,10,4.600000000000002,16,,0.07030219997977838
628,DBScan,Trip Advisor,10,4.500000000000002,8,,0.07034819998079911
747,DBScan,Trip Advisor,10,4.900000000000002,27,,0.0703563999850303
683,DBScan,Trip Advisor,10,4.700000000000003,13,,0.07101060001878068
609,DBScan,Trip Advisor,10,4.400000000000002,14,,0.07121449999976903
644,DBScan,Trip Advisor,10,4.500000000000002,24,,0.0712673999951221
