,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
311,IMCKDE,Trip Advisor,7,3.8999999999999995,0.5,,,
312,IMCKDE,Trip Advisor,8,3.8999999999999995,0.5,,,
313,IMCKDE,Trip Advisor,9,3.8999999999999995,0.5,,,
314,IMCKDE,Trip Advisor,10,3.8999999999999995,0.5,,,
315,IMCKDE,Trip Advisor,2,3.999999999999999,0.5,,,
316,IMCKDE,Trip Advisor,3,3.999999999999999,0.5,,,
317,IMCKDE,Trip Advisor,4,3.999999999999999,0.5,,,
318,IMCKDE,Trip Advisor,5,3.999999999999999,0.5,,,
319,IMCKDE,Trip Advisor,6,3.999999999999999,0.5,,,
320,IMCKDE,Trip Advisor,7,3.999999999999999,0.5,,,
321,IMCKDE,Trip Advisor,8,3.999999999999999,0.5,,,
322,IMCKDE,Trip Advisor,9,3.999999999999999,0.5,,,
323,IMCKDE,Trip Advisor,10,3.999999999999999,0.5,,,
324,IMCKDE,Trip Advisor,2,4.1,0.5,,,
325,IMCKDE,Trip Advisor,3,4.1,0.5,,,
326,IMCKDE,Trip Advisor,4,4.1,0.5,,,
327,IMCKDE,Trip Advisor,5,4.1,0.5,,,
328,IMCKDE,Trip Advisor,6,4.1,0.5,,,
329,IMCKDE,Trip Advisor,7,4.1,0.5,,,
330,IMCKDE,Trip Advisor,8,4.1,0.5,,,
331,IMCKDE,Trip Advisor,9,4.1,0.5,,,
332,IMCKDE,Trip Advisor,10,4.1,0.5,,,
333,IMCKDE,Trip Advisor,2,4.199999999999999,0.5,,,
334,IMCKDE,Trip Advisor,3,4.199999999999999,0.5,,,
335,IMCKDE,Trip Advisor,4,4.199999999999999,0.5,,,
336,IMCKDE,Trip Advisor,5,4.199999999999999,0.5,,,
337,IMCKDE,Trip Advisor,6,4.199999999999999,0.5,,,
338,IMCKDE,Trip Advisor,7,4.199999999999999,0.5,,,
339,IMCKDE,Trip Advisor,8,4.199999999999999,0.5,,,
340,IMCKDE,Trip Advisor,9,4.199999999999999,0.5,,,
341,IMCKDE,Trip Advisor,10,4.199999999999999,0.5,,,
342,IMCKDE,Trip Advisor,2,4.299999999999999,0.5,,,
343,IMCKDE,Trip Advisor,3,4.299999999999999,0.5,,,
344,IMCKDE,Trip Advisor,4,4.299999999999999,0.5,,,
345,IMCKDE,Trip Advisor,5,4.299999999999999,0.5,,,
