,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
3987,IMCKDE,Trip Advisor,2,2.7999999999999994,3.5,,0.30038684641787966,1.6625524000264704
5238,IMCKDE,Trip Advisor,2,2.6999999999999993,4.5,,0.30038684641787966,1.6740285999840125
3357,IMCKDE,Trip Advisor,2,2.7999999999999994,3.0,,0.30038684641787966,1.9327061000512913
4608,IMCKDE,Trip Advisor,2,2.6999999999999993,4.0,,0.30038684641787966,2.0078998000826687
4617,IMCKDE,Trip Advisor,2,2.7999999999999994,4.0,,0.30038684641787966,2.328068200033158
5274,IMCKDE,Trip Advisor,2,3.0999999999999996,4.5,,0.3003482330615457,2.7749598999507725
3087,IMCKDE,Trip Advisor,2,6.799999999999999,2.5,,0.3003480691486061,1.183856699964963
5193,IMCKDE,Trip Advisor,2,2.1999999999999997,4.5,,0.3002705522639048,2.1016933999489993
5202,IMCKDE,Trip Advisor,2,2.3,4.5,,0.3002705522639048,2.7754094999982044
4563,IMCKDE,Trip Advisor,2,2.1999999999999997,4.0,,0.3002705522639048,2.795543499989435
4572,IMCKDE,Trip Advisor,2,2.3,4.0,,0.3002705522639048,3.2078964000102133
3096,IMCKDE,Trip Advisor,2,6.899999999999999,2.5,,0.3002598193547316,1.3503607999300584
3978,IMCKDE,Trip Advisor,2,2.6999999999999993,3.5,,0.3002291391588828,1.4892404999118298
3969,IMCKDE,Trip Advisor,2,2.5999999999999996,3.5,,0.3002291391588828,1.6595571000361815
3348,IMCKDE,Trip Advisor,2,2.6999999999999993,3.0,,0.3002291391588828,1.664105600095354
3960,IMCKDE,Trip Advisor,2,2.4999999999999996,3.5,,0.3002291391588828,1.7437237000558525
5220,IMCKDE,Trip Advisor,2,2.4999999999999996,4.5,,0.3002291391588828,1.8221728999633342
4599,IMCKDE,Trip Advisor,2,2.5999999999999996,4.0,,0.3002291391588828,2.0270705999573693
4590,IMCKDE,Trip Advisor,2,2.4999999999999996,4.0,,0.3002291391588828,2.112183600082062
5229,IMCKDE,Trip Advisor,2,2.5999999999999996,4.5,,0.3002291391588828,2.460728200036101
